,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Solar Array Size,Solar CapEx,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Solar,Yearly Cost Wind,Elec Cost Solar,Elec Cost Wind,Cheaper source,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,End Plant Latitude,End Plant Longitude,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2,Transport Mode
4754,82.0,27.0,1462.1900153160095,102.14623,3735,88.30785680329019,22.528535,807.4303571198457,923.6454,39610477.41099018,26961208267.924023,0.32090184575989333,30080.872255035207,59475666679.6466,2930111196.3238106,6521072379.129465,50.590644383178855,112.59137678577389,Solar,6197813775.34971,6.197813775349711,6588.019434969966,3.666800136800545,5.2688289737275324,8.075726087994566,,3.666800136800545,NH3,3538.581871835294,,24.7136,46.6753,3666800136.8005447,9864613912.150255,9.864613912150256,
4755,82.0,28.0,1469.490008354187,20.071709,3735,88.30785680329019,22.528535,877.80105100192,1092.7262,39413704.23955299,26827272935.572132,0.06305713353939213,153083.51152178645,302675528429.7175,2915555267.9318876,31291515483.859043,50.339324980056304,540.2723057202712,Solar,6183257846.957788,6.183257846957789,6588.019434969966,3.802064776800545,5.505542093727533,8.582968487994567,,3.802064776800545,NH3,3532.5008711837245,,24.7136,46.6753,3802064776.8005447,9985322623.758333,9.985322623758334,
4756,82.0,37.0,1372.0350229740145,121.67711,3735,88.30785680329019,22.528535,1715.0939161242338,3487.8288,42213240.62610835,28732801182.262955,0.38225991488603717,25252.471035541894,49928989339.59327,3122645751.231284,5548722205.123114,53.914902933850314,95.80299621823956,Solar,6390348330.257185,6.390348330257185,6588.019434969966,5.718146856800545,8.85868573372753,15.768276287994563,,5.718146856800545,NH3,3616.9326895798526,,24.7136,46.6753,5718146856.800545,12108495187.05773,12.10849518705773,
4757,82.0,42.0,1507.450041770935,143.41368,3735,88.30785680329019,22.528535,2237.9083456978256,4041.1297,38421203.33500984,26151718755.402966,0.4505473635122775,21425.06695291164,42361475753.65556,2842136864.4476495,4777954231.096157,49.07169925086492,82.49508881702442,Solar,6109839443.47355,6.1098394434735495,6588.019434969966,6.160787576800545,9.63330699372753,17.428178987994563,,6.160787576800545,NH3,3766.9096484425554,,24.7136,46.6753,6160787576.800545,12270627020.274094,12.270627020274095,
4758,82.0,43.0,1469.1250348091123,61.42627,3735,88.30785680329019,22.528535,2344.2535298931434,4237.0553,39423495.7542437,26833937613.30615,0.19297631856942313,50021.72028292528,98902556317.72069,2916279576.970795,10536788175.7939,50.35183073787767,181.9258273239824,Solar,6183982155.9966955,6.183982155996696,6588.019434969966,6.317528056800545,9.90760283372753,18.015955787994564,,6.317528056800545,NH3,3804.9143942556952,,24.7136,46.6753,6317528056.800545,12501510212.797241,12.50151021279724,
4759,82.0,44.0,1415.1050341129303,64.97228,3735,88.30785680329019,22.528535,2451.0194923094764,4166.5044,40928442.18348538,27858292197.318195,0.20411643753497904,47291.67109363324,93504724292.61398,3027605182.4775114,9987007061.18044,52.27395373648552,172.43342959761176,Solar,6295307761.503412,6.2953077615034125,6588.019434969966,6.261087336800545,9.808831573727531,17.804303087994562,,6.261087336800545,NH3,3845.418767660181,,24.7136,46.6753,6261087336.800545,12556395098.303957,12.556395098303957,
4760,82.0,45.0,1365.4649770259855,24.872055,3735,88.30785680329019,22.528535,2558.15603159464,4490.865900000001,42416353.07146217,28871051395.310684,0.07813786526768128,123538.15138972011,244258672154.85483,3137670615.5889854,25341629639.75975,54.17431888044634,437.54290786090337,Solar,6405373194.614885,6.405373194614885,6588.019434969966,6.5205765368005455,10.262937673727532,18.777387587994568,,6.5205765368005455,NH3,3888.3451602126465,,24.7136,46.6753,6520576536.800546,12925949731.415432,12.92594973141543,
4761,82.0,47.0,1431.1650013923645,162.3898,7132,73.73498589919464,68.51616250000001,2441.1125275229124,3903.308,40469159.40223689,27545677466.861137,0.5101626026979159,18921.432848389763,37411309873.29571,2993630595.257778,4273768902.140511,51.68735611443784,73.78993772500685,Solar,6261333174.283678,6.261333174283678,12556.34112590067,6.065512940626633,9.462311496165757,17.101978740929116,,6.065512940626633,NH3,3981.1477640245876,,24.7136,46.6753,6065512940.626633,12326846114.91031,12.32684611491031,
4762,82.0,48.0,1360.7199728488922,196.43903,7132,73.73498589919464,68.51616250000001,2331.099002424586,3745.7313,42564264.3070706,28971728435.55505,0.6171314135263051,15641.737265570107,30926721273.58049,3148612073.401309,3613299229.9500947,54.36323164318084,62.386416127061494,Solar,6416314652.42721,6.41631465242721,12556.34112590067,5.939451580626633,9.241704116165756,16.629248640929113,,5.939451580626633,NH3,4030.8645180093004,,24.7136,46.6753,5939451580.626633,12355766233.053843,12.355766233053842,
4763,82.0,50.0,1281.1499965190887,229.25597,7132,73.73498589919464,68.51616250000001,2111.364110235457,3494.9511,45207856.01187582,30771111608.574684,0.7202288711436019,13402.694359337493,26499703052.71666,3344166839.691739,3162397645.6547794,57.73963648790042,54.601250249563066,Wind,6430100224.680679,6.430100224680679,12556.34112590067,5.738827420626633,8.890611836165757,15.876908040929116,,5.738827420626633,NH3,4136.531107684078,,24.7136,46.6753,5738827420.626633,12168927645.307312,12.168927645307312,
