,Unnamed: 0,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Solar Array Size,Solar CapEx,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Solar,Yearly Cost Wind,Elec Cost Solar,Elec Cost Wind,Cheaper source,Yearly gen. cost,Gen. cost per kg H2
4459,4459,73.0,26.0,1756.3799262046814,83.925255,3482,70.21597600368719,23.014665,434.6558391183428 km,581877.6,1657.0718657000057,1159950.305990004,263.6589645586501,1.8397805198001085,4636246.909896273,126061.98301595045,495495.570511994,43.313604420865026,170.24719602206974,Solar,241909081.19879666,4.838181623975933
4460,4460,73.0,27.0,1753.459963798523,87.33495,3482,70.21597600368719,23.014665,523.2757596450122 km,699989.4,1659.8313171001193,1161881.9219700836,274.37083732163194,1.7679525695985014,4455240.475388223,126271.90868226277,477059.6653461462,43.38573272672618,163.91280809329126,Solar,241909291.12446296,4.838185822489259
4461,4461,73.0,28.0,1707.4699902534485,93.52196,3482,70.21597600368719,23.014665,619.081190014812 km,770603.7,1704.5381633688432,1193176.7143581903,293.8079024853185,1.6509924435742864,4160500.957807202,129672.98850968704,447039.79445304937,44.55430887255914,153.59828835053492,Solar,241912692.2042904,4.838253844085807
4462,4462,73.0,29.0,1637.0250487327576,97.988815,3482,70.21597600368719,23.014665,719.213912025436 km,975096.9,1777.8883490188775,1244521.8443132143,307.84094133796935,1.5757313655467378,3970843.041177779,135253.1145434637,427722.7167235457,46.47158294570291,146.9611385665516,Solar,241918272.33032417,4.838365446606484
4463,4463,73.0,30.0,1602.3499512672424,74.8301,3482,70.21597600368719,23.014665,822.1010802180912 km,4144982.1,1816.3621241990606,1271453.4869393425,235.08569242738957,2.0633949342344415,5199755.234270792,138180.01258193524,552890.1380397712,47.47723509225467,189.96738076238296,Solar,241921199.22836265,4.838423984567253
4464,4464,73.0,31.0,1540.2999234199524,53.13983,6933,67.3039209812252,24.773734166666664,888.828660411938 km,1054632.4,1889.5331467211377,1322673.2027047963,166.94369954101052,2.9056180508717597,7322157.488196835,143746.50875471358,769061.495613372,49.38982608495287,264.2416420825432,Solar,241926765.7245354,4.838535314490708
4465,4465,73.0,32.0,1514.0199136734009,51.071594,6933,67.3039209812252,24.773734166666664,975.8095327282886 km,1176033.8,1922.3312288756736,1345631.8602129715,160.44614451752057,3.0232862766777293,7618681.417227878,146241.62762137435,799263.1127541028,50.24712333657478,274.61860797192253,Solar,241929260.8434021,4.838585216868042
4466,4466,73.0,33.0,1561.469955444336,66.72776,6933,67.3039209812252,24.773734166666664,1067.2131553771092 km,1312594.1,1863.9153132894096,1304740.7193025867,209.63144060650288,2.3139402441840797,5831129.415343881,141797.62835319177,617196.9929759731,48.72021076750692,212.06255656097537,Solar,241924816.84413388,4.838496336882677
4467,4467,73.0,34.0,1580.44997215271,24.767445,6933,67.3039209812252,24.773734166666664,1162.0015047689872 km,1457823.5,1841.5310908131737,1289071.7635692216,77.80922326018924,6.234153311666048,15710066.345398441,140094.7453750703,1623388.5401266243,48.135117641690826,557.779652248635,Solar,241923113.96115577,4.838462279223116
4468,4468,73.0,41.0,1417.6600229740145,40.958164,5952,66.69849430950143,25.036485,1864.4125324365295 km,2606049.6,2052.994169284957,1437095.91849947,128.67386712692593,3.7697990873872347,9499893.700215831,156181.8298030891,990868.7390416677,53.662474855420356,340.45233597841917,Solar,241939201.04558378,4.8387840209116755
4469,4469,73.0,42.0,1553.4400153160095,58.959427,5952,66.69849430950143,25.036485,1969.0068720455552 km,2744145.0,1873.5501419422174,1311485.0993595521,185.2265027230637,2.6188186881167734,6599423.094054269,142530.5993432452,695449.40117749,48.9720520820381,238.94928143021454,Solar,241925549.81512395,4.838510996302479
4470,4470,73.0,43.0,1428.974986076355,68.12465,5952,66.69849430950143,25.036485,2074.2719361554714 km,2813589.6,2036.7380741810373,1425716.651926726,214.0198999683759,2.2664931015169496,5711562.615822713,154945.1450054564,605018.8503428273,53.23756264290041,207.87827165625347,Solar,241937964.36078617,4.838759287215724
4471,4471,73.0,48.0,1420.2150118350985,255.38199,7131,73.67491895779033,68.50547166666666,2284.145930576879 km,3349805.1,2049.300800893071,1434510.5606251496,802.3061836431422,0.6046003841862797,1523592.9681494248,155900.85626589553,178464.89124299126,53.56593522982052,61.31870622195085,Solar,241938920.0720466,4.8387784014409325
4472,4472,73.0,49.0,1339.55002784729,365.65225,7131,73.67491895779033,68.50547166666666,2172.9547876623556 km,3198695.8,2172.705535956156,1520893.875169309,1148.7304223685783,0.42227020145030336,1064120.9076547644,165288.88942101694,131666.64698908583,56.791567134400694,45.23930947830129,Wind,241914685.86276978,4.838293717255396
4473,4473,73.0,50.0,1263.9950215816498,348.72784,7131,73.67491895779033,68.50547166666666,2061.745194044253 km,3074243.4,2302.5785003109877,1611804.9502176915,1095.560820246237,0.4427637588907632,1115764.6724047232,175168.99405957694,136926.6785008123,60.186269753803366,47.046602356689355,Wind,241919945.8942815,4.83839891788563
4474,4474,73.0,51.0,1250.1249825954435,296.01495,7131,73.67491895779033,68.50547166666666,1950.5174091231643 km,3032278.7,2328.1254288283335,1629687.8001798335,929.95839227275,0.5216089568052447,1314454.5711492165,177112.48035943208,157163.68355878707,60.85403171324077,53.999829735583255,Wind,241940182.8993395,4.83880365798679
4475,4475,73.0,52.0,1225.6700146198273,350.62802,7131,73.67491895779033,68.50547166666666,1839.2717541835173 km,2918775.0,2374.5769468765043,1662203.862813553,1101.530411774735,0.44036426201264994,1109717.940271878,180646.28634604206,136310.8054769201,62.06821120607599,46.8349947023264,Wind,241919330.02125764,4.838386600425153
4476,4476,73.0,54.0,1169.095025062561,237.41591,7131,73.67491895779033,68.50547166666666,1616.7285071662632 km,2696152.4,2489.4877651526103,1742641.4356068273,745.8640787013354,0.650352578596172,1638888.4980623536,189388.14354711887,190207.99563205868,65.07182368029213,65.35351644793812,Solar,241972407.35932782,4.839448147186556
4477,4477,73.0,55.0,1147.9249930381775,281.9148,7131,73.67491895779033,68.50547166666666,1505.432005025521 km,2550901.0,2535.3988970054897,1774779.227903843,885.661464618236,0.5476975641869694,1380197.8617511627,192880.8395753843,163859.78292189757,66.27187821308077,56.300540798805834,Wind,241946878.99870262,4.838937579974052
4478,4478,73.0,56.0,1149.0200006961825,257.38904,7131,73.67491895779033,68.50547166666666,1394.1198748112656 km,2489268.9,2532.9826803977403,1773087.876278418,808.6115171785295,0.59988587419362,1511712.4029679226,192697.02554578558,177254.82943718784,66.20872159778274,60.90294139636711,Wind,241960274.0452179,4.839205480904358
4479,4479,73.0,57.0,1157.4150013923645,138.60526,7131,73.67491895779033,68.50547166666666,1282.7930830690052 km,2318409.2,2514.610366802552,1760227.2567617865,435.44126656490323,1.1139840527571367,2807239.812947985,191299.34911886614,309207.15773459256,65.72849431263606,106.24040804214206,Solar,241974318.56489956,4.839486371297991
4480,4480,74.0,16.0,1528.985047340393,454.51028,2103,73.71506557120571,15.469580353,66.16298389760404 km,82484.7,1903.5161699302648,1332461.3189511853,1427.8861566290402,0.33971519691096236,856082.2962156251,144810.2692775899,110477.45489350833,49.75532329024884,37.95892039930799,Wind,241893496.6706742,4.837869933413484
4481,4481,74.0,17.0,1593.590064048767,149.08131,3341,73.21415289053436,17.298975,89.92349915695405 km,138674.5,1826.3465786173251,1278442.6050321276,468.35274828354255,1.0357035987157388,2609973.0687636617,138939.58140290913,289115.10411206784,47.73821514869186,99.33698448978741,Solar,241921958.7971836,4.838439175943672
4482,4482,74.0,18.0,1614.759922027588,156.97232,3341,73.21415289053436,17.298975,113.89982502298079 km,267708.7,1802.4027730013881,1261681.9411009718,493.14308732894614,0.983638703105469,2478769.531825782,137118.05291077076,275751.7340695349,47.11235664113662,94.74546760337867,Solar,241920137.26869148,4.83840274537383
